case,kind,status,output_W,pump_absorbed_W,heat_W,peak_disk_K,peak_plate_K
reference,coupled,not_run,,,,,
optical_384,coupled,not_run,,,,,
optical_512,coupled,not_run,,,,,
window_384,coupled,not_run,,,,,
window_512,coupled,not_run,,,,,
material_1,coupled,not_run,,,,,
material_2,coupled,not_run,,,,,
mechanical_1,coupled,not_run,,,,,
mechanical_2,coupled,not_run,,,,,
joint_1,coupled,not_run,,,,,
joint_2,coupled,not_run,,,,,
tolerances_1,coupled,not_run,,,,,
tolerances_2,coupled,not_run,,,,,
modes_4,coupled,not_run,,,,,
modes_8,coupled,not_run,,,,,
candidates_6,coupled,not_run,,,,,
candidates_8,coupled,not_run,,,,,
start_lg_plus,coupled,not_run,,,,,
start_lg_minus,coupled,not_run,,,,,
start_lg_two,coupled,not_run,,,,,
start_mixed,coupled,not_run,,,,,
sensitivity_contact_0.5,coupled,not_run,,,,,
sensitivity_contact_2,coupled,not_run,,,,,
sensitivity_coolant_0.5,coupled,not_run,,,,,
sensitivity_coolant_2,coupled,not_run,,,,,
sensitivity_bond_normal_0.5,coupled,not_run,,,,,
sensitivity_bond_normal_2,coupled,not_run,,,,,
sensitivity_bond_shear_0.5,coupled,not_run,,,,,
sensitivity_bond_shear_2,coupled,not_run,,,,,
sensitivity_support_roller,coupled,not_run,,,,,
sensitivity_support_free,coupled,not_run,,,,,
sensitivity_inhomogeneous,coupled,not_run,,,,,
modes_6,coupled,completed,0.7900870434412135,2.2109852609012326,0.654753805879167,302.3320148118103,293.7190331135792
